DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-12-01,EQUIPAJE,LUCENTZZA,M1,0.0
2020-12-01,EQUIPAJE,LUCENTZZA,M2,0.0
2020-12-01,EQUIPAJE,X,M1,0.0
2020-12-01,EQUIPAJE,X,M2,0.0
2020-12-01,EQUIPAJE,Y,M1,0.0
2020-12-01,EQUIPAJE,Y,M2,0.0
2020-12-01,ESCOLARES,CLOEAGATHARUIZDELAPRADA,M1,0.0
2020-12-01,ESCOLARES,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-12-01,ESCOLARES,CLOE,M1,-0.5263157894999999
2020-12-01,ESCOLARES,CLOE,M2,0.0
2020-12-01,ESCOLARES,CLOEGIRLS,M1,397.3199832547
2020-12-01,ESCOLARES,CLOEGIRLS,M2,0.0
2020-12-01,ESCOLARES,CLOELEATHER,M1,0.0
2020-12-01,ESCOLARES,CLOELEATHER,M2,0.0
2020-12-01,ESCOLARES,CLOEMOM&BABY,M1,0.0
2020-12-01,ESCOLARES,CLOEMOM&BABY,M2,0.0
2020-12-01,ESCOLARES,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,ESCOLARES,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,ESCOLARES,CLOEUOMO,M1,0.0
2020-12-01,ESCOLARES,CLOEUOMO,M2,0.0
2020-12-01,ESCOLARES,LUCENTZZA,M1,0.0
2020-12-01,ESCOLARES,LUCENTZZA,M2,0.0
2020-12-01,ESCOLARES,X,M1,0.0
2020-12-01,ESCOLARES,X,M2,0.0
2020-12-01,ESCOLARES,Y,M1,0.0
2020-12-01,ESCOLARES,Y,M2,0.0
2020-12-01,OTROS,CLOEAGATHARUIZDELAPRADA,M1,0.0
2020-12-01,OTROS,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-12-01,OTROS,CLOE,M1,0.0
2020-12-01,OTROS,CLOE,M2,0.0
2020-12-01,OTROS,CLOEGIRLS,M1,0.0
2020-12-01,OTROS,CLOEGIRLS,M2,0.0
2020-12-01,OTROS,CLOELEATHER,M1,0.0
2020-12-01,OTROS,CLOELEATHER,M2,0.0
2020-12-01,OTROS,CLOEMOM&BABY,M1,0.0
2020-12-01,OTROS,CLOEMOM&BABY,M2,0.0
2020-12-01,OTROS,CLOESEXTOSENTIDO,M1,0.0
2020-12-01,OTROS,CLOESEXTOSENTIDO,M2,0.0
2020-12-01,OTROS,CLOEUOMO,M1,0.0
2020-12-01,OTROS,CLOEUOMO,M2,0.0
2020-12-01,OTROS,LUCENTZZA,M1,0.0
2020-12-01,OTROS,LUCENTZZA,M2,0.0
2020-12-01,OTROS,X,M1,0.0
2020-12-01,OTROS,X,M2,0.0
2020-12-01,OTROS,Y,M1,0.0
2020-12-01,OTROS,Y,M2,0.0
